timestamp,action,price,type,shares
1355,open position,5131,short,1
1356,close position,5154,short,1
1359,open position,4941,long,1
1372,close position,4964,long,1
1380,open position,5207,long,1
1382,close position,5050,long,1
1390,open position,4816,long,1
1392,close position,4834,long,1
1396,open position,5124,short,1
1397,close position,4975,short,1
1400,open position,4823,long,1
1401,close position,5075,long,1
1405,open position,5050,short,1
1418,close position,4957,short,1
1419,open position,5183,short,1
1420,close position,4936,short,1
1424,open position,5044,long,1
1448,close position,5168,long,1
1456,open position,5086,short,1
1492,close position,4905,short,1
1494,open position,4948,long,1
1496,close position,4875,long,1
1497,open position,4998,short,1
1500,close position,4898,short,1
1502,open position,5036,long,1
1503,close position,5090,long,1
1504,open position,4910,long,1
1505,close position,5066,long,1
1507,open position,4926,long,1
1512,close position,5081,long,1
1515,open position,4916,short,1
1523,close position,5116,short,1
1524,open position,5034,long,1
1564,close position,4876,long,1
1565,open position,4931,short,1
1588,close position,4991,short,1
1591,open position,5191,long,1
1610,close position,4848,long,1
1615,open position,4849,short,1
1693,close position,4868,short,1
1695,open position,5141,short,1
1697,close position,4945,short,1
1704,open position,5172,long,1
1736,close position,5159,long,1
1737,open position,5047,short,1
1741,close position,5100,short,1
1742,open position,4967,long,1
1749,close position,5025,long,1
1750,open position,4941,short,1
1751,close position,5105,short,1
1752,open position,4963,long,1
1756,close position,5160,long,1
1760,open position,5147,long,1
1784,close position,4866,long,1
1785,open position,5135,short,1
1809,close position,5127,short,1
1811,open position,5198,long,1
1827,close position,4940,long,1
1828,open position,4830,short,1
1853,close position,4908,short,1
1858,open position,5170,short,1
1859,close position,5078,short,1
1861,open position,5216,long,1
1884,close position,4954,long,1
1885,open position,4891,short,1
1911,close position,4973,short,1
1920,open position,5009,long,1
1926,close position,5031,long,1
1927,open position,5026,short,1
1928,close position,5039,short,1
1935,open position,4904,short,1
1962,close position,4876,short,1
1965,open position,4807,short,1
1968,close position,4899,short,1
1970,open position,5193,long,1
1975,close position,4947,long,1
1976,open position,5076,short,1
1983,close position,5022,short,1
1987,open position,5060,short,1
1988,close position,5074,short,1
1990,open position,5158,long,1
