timestamp,day,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
2600,0,STARFRUIT,5035,30,,,,,5042,30,,,,,5038.5,0.0
2700,0,STARFRUIT,5036,7,5035.0,23.0,,,5041,2,5042.0,21.0,,,5038.5,0.0
2800,0,STARFRUIT,5035,27,,,,,5042,27,,,,,5038.5,0.0
2900,0,STARFRUIT,5035,22,,,,,5042,22,,,,,5038.5,0.0
3000,0,STARFRUIT,5040,1,5035.0,6.0,5034.0,29.0,5041,30,,,,,5040.5,0.0
3100,0,STARFRUIT,5035,1,5034.0,27.0,,,5041,28,,,,,5038.0,0.0
3200,0,STARFRUIT,5035,24,,,,,5038,5,5042.0,24.0,,,5036.5,0.0
3300,0,STARFRUIT,5034,25,,,,,5041,25,,,,,5037.5,0.0
3400,0,STARFRUIT,5034,29,,,,,5041,29,,,,,5037.5,0.0
3500,0,STARFRUIT,5034,26,,,,,5041,26,,,,,5037.5,0.0
3600,0,STARFRUIT,5034,27,,,,,5041,27,,,,,5037.5,0.0
3700,0,STARFRUIT,5034,25,,,,,5041,25,,,,,5037.5,0.0
3800,0,STARFRUIT,5034,24,,,,,5039,7,5041.0,24.0,,,5036.5,0.0
3900,0,STARFRUIT,5035,1,5034.0,26.0,,,5040,2,5041.0,24.0,,,5037.5,-12.91796875
4000,0,STARFRUIT,5034,30,,,,,5041,31,,,,,5037.5,-11.1953125
4100,0,STARFRUIT,5037,5,5035.0,2.0,5034.0,22.0,5041,24,,,,,5039.0,-7.19921875
4200,0,STARFRUIT,5034,29,,,,,5039,7,5041.0,29.0,,,5036.5,-11.390625
4300,0,STARFRUIT,5034,26,,,,,5036,2,5041.0,26.0,,,5035.0,-7.23046875
4400,0,STARFRUIT,5035,28,,,,,5042,28,,,,,5038.5,-0.52734375
4500,0,STARFRUIT,5035,26,,,,,5040,8,5042.0,26.0,,,5037.5,-0.4140625
4600,0,STARFRUIT,5035,21,,,,,5040,3,5042.0,21.0,,,5037.5,-1.41015625
4700,0,STARFRUIT,5034,26,,,,,5041,26,,,,,5037.5,-8.484375
4800,0,STARFRUIT,5039,1,5035.0,7.0,5034.0,23.0,5041,23,,,,,5040.0,-8.08984375
4900,0,STARFRUIT,5033,24,,,,,5038,6,5040.0,24.0,,,5035.5,-27.0
5000,0,STARFRUIT,5033,6,5032.0,30.0,,,5039,31,,,,,5036.0,-39.64453125
5100,0,STARFRUIT,5032,26,,,,,5039,26,,,,,5035.5,-39.919921875
5200,0,STARFRUIT,5035,5,5033.0,8.0,5032.0,23.0,5039,25,,,,,5037.0,-40.0625
5300,0,STARFRUIT,5032,22,,,,,5039,22,,,,,5035.5,-41.876953125
5400,0,STARFRUIT,5032,30,,,,,5039,30,,,,,5035.5,-40.5078125
5500,0,STARFRUIT,5032,29,,,,,5033,8,5039.0,29.0,,,5032.5,-40.71875
5600,0,STARFRUIT,5032,25,,,,,5038,2,5039.0,23.0,,,5035.0,-28.1015625
5700,0,STARFRUIT,5032,3,5031.0,31.0,,,5038,31,,,,,5035.0,-36.140625
5800,0,STARFRUIT,5031,30,,,,,5038,30,,,,,5034.5,-33.9375
5900,0,STARFRUIT,5031,23,,,,,5038,23,,,,,5034.5,-32.3046875
6000,0,STARFRUIT,5031,30,,,,,5038,30,,,,,5034.5,-33.75
6100,0,STARFRUIT,5031,25,,,,,5037,1,5038.0,24.0,,,5034.0,-41.8515625
6200,0,STARFRUIT,5036,1,5031.0,30.0,,,5038,30,,,,,5037.0,-39.5390625
6300,0,STARFRUIT,5030,22,,,,,5037,22,,,,,5033.5,-48.2109375
6400,0,STARFRUIT,5030,24,,,,,5036,1,5037.0,23.0,,,5033.0,-54.9453125
6500,0,STARFRUIT,5029,22,,,,,5036,22,,,,,5032.5,-60.40625
6600,0,STARFRUIT,5030,29,,,,,5031,7,5036.0,2.0,5037.0,27.0,5030.5,-57.46875
6700,0,STARFRUIT,5030,1,5029.0,30.0,,,5034,7,5036.0,31.0,,,5032.0,-52.0390625
6800,0,STARFRUIT,5033,4,5030.0,31.0,,,5037,31,,,,,5035.0,-43.703125
6900,0,STARFRUIT,5030,29,,,,,5035,3,5037.0,29.0,,,5032.5,-42.84375
7000,0,STARFRUIT,5030,8,5029.0,30.0,,,5036,31,,,,,5033.0,-54.171875
7100,0,STARFRUIT,5030,1,5029.0,30.0,,,5036,31,,,,,5033.0,-53.90625
7200,0,STARFRUIT,5031,6,5030.0,23.0,,,5036,1,5037.0,22.0,,,5033.5,-46.3671875
7300,0,STARFRUIT,5030,26,,,,,5036,1,5037.0,25.0,,,5033.0,-49.140625
7400,0,STARFRUIT,5030,22,,,,,5037,22,,,,,5033.5,-46.1796875
7500,0,STARFRUIT,5030,29,,,,,5035,3,5037.0,29.0,,,5032.5,-33.359375
7600,0,STARFRUIT,5031,27,,,,,5038,27,,,,,5034.5,-24.390625
7700,0,STARFRUIT,5030,26,,,,,5037,26,,,,,5033.5,-35.609375
7800,0,STARFRUIT,5031,1,5030.0,23.0,,,5037,23,,,,,5034.0,-35.09375
7900,0,STARFRUIT,5030,24,,,,,5037,24,,,,,5033.5,-41.0625
8000,0,STARFRUIT,5036,1,5033.0,3.0,5031.0,2.0,5037,30,,,,,5036.5,-31.6875
8100,0,STARFRUIT,5030,25,,,,,5037,25,,,,,5033.5,-93.0
8200,0,STARFRUIT,5030,27,,,,,5037,27,,,,,5033.5,-93.0
8300,0,STARFRUIT,5030,28,,,,,5037,28,,,,,5033.5,-93.0
8400,0,STARFRUIT,5031,29,,,,,5038,29,,,,,5034.5,-93.0
8500,0,STARFRUIT,5032,8,5031.0,27.0,,,5037,2,5038.0,25.0,,,5034.5,-93.0
8600,0,STARFRUIT,5031,29,,,,,5037,2,5038.0,27.0,,,5034.0,-93.0
8700,0,STARFRUIT,5035,1,5031.0,8.0,5030.0,24.0,5037,24,,,,,5036.0,-93.0
8800,0,STARFRUIT,5030,31,,,,,5037,31,,,,,5033.5,-91.4921875
8900,0,STARFRUIT,5031,2,5030.0,26.0,,,5037,26,,,,,5034.0,-91.27587890625
9000,0,STARFRUIT,5030,23,,,,,5037,23,,,,,5033.5,-91.1728515625
9100,0,STARFRUIT,5030,5,5029.0,22.0,,,5036,22,,,,,5033.0,-90.8701171875
9200,0,STARFRUIT,5030,5,5029.0,25.0,,,5036,27,,,,,5033.0,-90.9638671875
9300,0,STARFRUIT,5030,1,5029.0,29.0,,,5036,30,,,,,5033.0,-90.9208984375
9400,0,STARFRUIT,5031,3,5030.0,30.0,,,5036,2,5037.0,28.0,,,5033.5,-91.2265625
9500,0,STARFRUIT,5030,2,5029.0,24.0,,,5036,26,,,,,5033.0,-90.88232421875
9600,0,STARFRUIT,5029,21,,,,,5036,21,,,,,5032.5,-90.66943359375
9700,0,STARFRUIT,5029,31,,,,,5032,5,5034.0,5.0,5036.0,31.0,5030.5,-90.568359375
9800,0,STARFRUIT,5029,26,,,,,5036,26,,,,,5032.5,-90.0
9900,0,STARFRUIT,5029,24,,,,,5036,24,,,,,5032.5,-90.0
10000,0,STARFRUIT,5029,27,,,,,5036,27,,,,,5032.5,-90.0
10100,0,STARFRUIT,5028,21,,,,,5033,5,5035.0,21.0,,,5030.5,-90.0
10200,0,STARFRUIT,5028,20,,,,,5035,20,,,,,5031.5,-96.212890625
10300,0,STARFRUIT,5030,5,5029.0,25.0,,,5035,1,5036.0,24.0,,,5032.5,-94.669921875
10400,0,STARFRUIT,5029,25,,,,,5036,25,,,,,5032.5,-94.376953125
10500,0,STARFRUIT,5030,8,5029.0,26.0,,,5037,26,,,,,5033.5,-90.029296875
10600,0,STARFRUIT,5034,3,5029.0,20.0,,,5036,20,,,,,5035.0,-92.609375
10700,0,STARFRUIT,5030,7,5029.0,24.0,,,5036,24,,,,,5033.0,-95.0
10800,0,STARFRUIT,5030,6,5029.0,23.0,,,5036,23,,,,,5033.0,-95.0
10900,0,STARFRUIT,5029,1,5028.0,22.0,,,5031,6,5035.0,23.0,,,5030.0,-95.0
11000,0,STARFRUIT,5028,27,,,,,5033,2,5035.0,27.0,,,5030.5,-93.19140625
11100,0,STARFRUIT,5029,1,5028.0,31.0,,,5034,1,5035.0,30.0,,,5031.5,-97.5625
11200,0,STARFRUIT,5028,2,5027.0,28.0,,,5032,5,5034.0,30.0,,,5030.0,-100.72265625
11300,0,STARFRUIT,5027,27,,,,,5034,27,,,,,5030.5,-110.23828125
11400,0,STARFRUIT,5027,30,,,,,5034,30,,,,,5030.5,-113.1640625
11500,0,STARFRUIT,5027,29,,,,,5032,5,5034.0,29.0,,,5029.5,-107.80078125
11600,0,STARFRUIT,5027,24,,,,,5032,7,5034.0,24.0,,,5029.5,-116.703125
11700,0,STARFRUIT,5029,4,5027.0,2.0,5026.0,20.0,5033,22,,,,,5031.0,-134.671875
11800,0,STARFRUIT,5026,22,,,,,5033,22,,,,,5029.5,-141.3984375
11900,0,STARFRUIT,5028,4,5026.0,1.0,5025.0,22.0,5032,23,,,,,5030.0,-155.6796875
12000,0,STARFRUIT,5025,28,,,,,5032,28,,,,,5028.5,-162.21875
12100,0,STARFRUIT,5026,2,5025.0,23.0,,,5032,25,,,,,5029.0,-153.75
12200,0,STARFRUIT,5025,25,,,,,5032,25,,,,,5028.5,-155.984375
12300,0,STARFRUIT,5026,5,5025.0,24.0,,,5032,25,,,,,5029.0,-153.21875
12400,0,STARFRUIT,5026,29,,,,,5033,29,,,,,5029.5,-146.96875
12500,0,STARFRUIT,5029,3,5026.0,23.0,,,5033,23,,,,,5031.0,-144.59375
12600,0,STARFRUIT,5029,4,5026.0,26.0,,,5033,26,,,,,5031.0,-143.453125
12700,0,STARFRUIT,5027,28,,,,,5034,28,,,,,5030.5,-125.75
12800,0,STARFRUIT,5030,4,5027.0,30.0,,,5034,30,,,,,5032.0,-121.7109375
12900,0,STARFRUIT,5027,23,,,,,5032,2,5034.0,23.0,,,5029.5,-122.25
13000,0,STARFRUIT,5027,32,,,,,5034,32,,,,,5030.5,-118.9609375
13100,0,STARFRUIT,5028,21,,,,,5031,2,5035.0,21.0,,,5029.5,-109.3203125
13200,0,STARFRUIT,5033,1,5029.0,7.0,5028.0,31.0,5035,31,,,,,5034.0,-104.921875
13300,0,STARFRUIT,5028,23,,,,,5035,23,,,,,5031.5,-159.0
13400,0,STARFRUIT,5028,26,,,,,5035,26,,,,,5031.5,-159.0
13500,0,STARFRUIT,5028,25,,,,,5035,25,,,,,5031.5,-159.0
13600,0,STARFRUIT,5028,26,,,,,5033,3,5035.0,26.0,,,5030.5,-159.0
13700,0,STARFRUIT,5028,28,,,,,5035,28,,,,,5031.5,-159.0
13800,0,STARFRUIT,5028,23,,,,,5035,23,,,,,5031.5,-159.0
13900,0,STARFRUIT,5029,21,,,,,5031,3,5036.0,21.0,,,5030.0,-159.0
14000,0,STARFRUIT,5030,3,5029.0,28.0,,,5036,29,,,,,5033.0,-159.0
14100,0,STARFRUIT,5029,22,,,,,5036,22,,,,,5032.5,-159.0
14200,0,STARFRUIT,5029,21,,,,,5036,21,,,,,5032.5,-159.0
14300,0,STARFRUIT,5029,1,5028.0,21.0,,,5035,22,,,,,5032.0,-159.0
14400,0,STARFRUIT,5029,22,,,,,5036,23,,,,,5032.5,-159.0
14500,0,STARFRUIT,5029,29,,,,,5034,6,5036.0,29.0,,,5031.5,-159.0
14600,0,STARFRUIT,5029,1,5028.0,27.0,,,5030,3,5035.0,1.0,5036.0,27.0,5029.5,-159.0
14700,0,STARFRUIT,5029,24,,,,,5034,2,5035.0,1.0,5036.0,23.0,5031.5,-152.8388671875
14800,0,STARFRUIT,5029,1,5028.0,30.0,,,5033,3,5035.0,31.0,,,5031.0,-153.47265625
14900,0,STARFRUIT,5032,4,5028.0,26.0,,,5035,26,,,,,5033.5,-155.091796875
15000,0,STARFRUIT,5029,6,5028.0,25.0,,,5035,27,,,,,5032.0,-153.0
15100,0,STARFRUIT,5028,21,,,,,5035,21,,,,,5031.5,-153.0
15200,0,STARFRUIT,5031,4,5029.0,4.0,5028.0,23.0,5035,23,,,,,5033.0,-153.0
15300,0,STARFRUIT,5028,2,5027.0,22.0,,,5033,6,5034.0,2.0,5035.0,22.0,5030.5,-153.0
15400,0,STARFRUIT,5027,30,,,,,5034,30,,,,,5030.5,-153.0
15500,0,STARFRUIT,5028,25,,,,,5035,25,,,,,5031.5,-153.0
15600,0,STARFRUIT,5028,23,,,,,5034,1,5035.0,22.0,,,5031.0,-153.0
15700,0,STARFRUIT,5028,30,,,,,5033,1,5034.0,2.0,5035.0,28.0,5030.5,-153.0
15800,0,STARFRUIT,5029,4,5028.0,28.0,,,5035,28,,,,,5032.0,-153.0
15900,0,STARFRUIT,5029,1,5028.0,20.0,,,5030,3,5035.0,21.0,,,5029.5,-153.0
16000,0,STARFRUIT,5029,22,,,,,5034,4,5036.0,22.0,,,5031.5,-146.24609375
16100,0,STARFRUIT,5029,27,,,,,5031,2,5034.0,8.0,5036.0,27.0,5030.0,-145.310546875
16200,0,STARFRUIT,5029,26,,,,,5036,27,,,,,5032.5,-144.68359375
16300,0,STARFRUIT,5029,22,,,,,5036,22,,,,,5032.5,-143.67578125
16400,0,STARFRUIT,5028,27,,,,,5033,7,5035.0,27.0,,,5030.5,-146.208984375
16500,0,STARFRUIT,5028,22,,,,,5033,1,5035.0,22.0,,,5030.5,-149.78515625
16600,0,STARFRUIT,5029,7,5028.0,26.0,,,5035,26,,,,,5032.0,-149.71484375
16700,0,STARFRUIT,5028,25,,,,,5035,25,,,,,5031.5,-148.546875
16800,0,STARFRUIT,5031,2,5028.0,27.0,,,5035,27,,,,,5033.0,-148.083984375
16900,0,STARFRUIT,5028,24,,,,,5035,24,,,,,5031.5,-159.0
17000,0,STARFRUIT,5029,1,5028.0,26.0,,,5034,1,5035.0,25.0,,,5031.5,-159.0
17100,0,STARFRUIT,5028,1,5027.0,26.0,,,5034,27,,,,,5031.0,-159.0
17200,0,STARFRUIT,5028,5,5027.0,28.0,,,5034,28,,,,,5031.0,-159.0
17300,0,STARFRUIT,5026,28,,,,,5031,6,5032.0,1.0,5033.0,27.0,5028.5,-159.0
17400,0,STARFRUIT,5030,3,5026.0,2.0,5025.0,25.0,5032,25,,,,,5031.0,-171.650390625
17500,0,STARFRUIT,5026,28,,,,,5033,28,,,,,5029.5,-169.015625
17600,0,STARFRUIT,5027,3,5026.0,30.0,,,5032,1,5033.0,29.0,,,5029.5,-170.7421875
17700,0,STARFRUIT,5026,22,,,,,5033,22,,,,,5029.5,-168.53515625
17800,0,STARFRUIT,5026,32,,,,,5031,5,5033.0,32.0,,,5028.5,-166.845703125
17900,0,STARFRUIT,5032,1,5029.0,2.0,5026.0,21.0,5033,21,,,,,5032.5,-173.78125
18000,0,STARFRUIT,5026,24,,,,,5033,24,,,,,5029.5,-202.0
18100,0,STARFRUIT,5026,30,,,,,5033,30,,,,,5029.5,-202.0
18200,0,STARFRUIT,5027,25,,,,,5033,2,5034.0,23.0,,,5030.0,-202.0
18300,0,STARFRUIT,5027,20,,,,,5034,20,,,,,5030.5,-202.0
18400,0,STARFRUIT,5032,1,5027.0,22.0,,,5033,1,5034.0,21.0,,,5032.5,-202.0
18500,0,STARFRUIT,5027,23,,,,,5029,1,5034.0,23.0,,,5028.0,-200.58935546875
18600,0,STARFRUIT,5028,22,,,,,5029,9,5035.0,22.0,,,5028.5,-199.0
18700,0,STARFRUIT,5028,30,,,,,5035,30,,,,,5031.5,-173.9921875
18800,0,STARFRUIT,5028,24,,,,,5035,24,,,,,5031.5,-176.66796875
18900,0,STARFRUIT,5030,7,5029.0,25.0,,,5036,25,,,,,5033.0,-169.63671875
19000,0,STARFRUIT,5029,31,,,,,5036,31,,,,,5032.5,-167.12109375
19100,0,STARFRUIT,5030,2,5029.0,21.0,,,5036,23,,,,,5033.0,-163.578125
19200,0,STARFRUIT,5030,26,,,,,5037,26,,,,,5033.5,-160.375
19300,0,STARFRUIT,5032,2,5031.0,23.0,,,5038,25,,,,,5035.0,-146.6875
19400,0,STARFRUIT,5032,26,,,,,5038,2,5039.0,24.0,,,5035.0,-179.0
19500,0,STARFRUIT,5031,23,,,,,5038,23,,,,,5034.5,-236.046875
19600,0,STARFRUIT,5032,27,,,,,5038,1,5039.0,26.0,,,5035.0,-241.578125
19700,0,STARFRUIT,5032,31,,,,,5039,31,,,,,5035.5,-253.1796875
19800,0,STARFRUIT,5033,2,5032.0,26.0,,,5039,28,,,,,5036.0,-257.625
19900,0,STARFRUIT,5033,1,5032.0,22.0,,,5039,23,,,,,5036.0,-256.765625
20000,0,STARFRUIT,5032,26,,,,,5037,4,5039.0,26.0,,,5034.5,-253.765625
20100,0,STARFRUIT,5033,30,,,,,5038,4,5039.0,1.0,5040.0,29.0,5035.5,-262.4296875
20200,0,STARFRUIT,5032,20,,,,,5039,20,,,,,5035.5,-253.59375
20300,0,STARFRUIT,5032,24,,,,,5039,24,,,,,5035.5,-257.3984375
20400,0,STARFRUIT,5032,28,,,,,5033,3,5039.0,28.0,,,5032.5,-245.7578125
20500,0,STARFRUIT,5032,26,,,,,5033,8,5039.0,26.0,,,5032.5,-250.9921875
20600,0,STARFRUIT,5033,25,,,,,5040,25,,,,,5036.5,-264.9453125
20700,0,STARFRUIT,5038,2,5034.0,3.0,5033.0,30.0,5041,30,,,,,5039.5,-278.7578125
20800,0,STARFRUIT,5034,26,,,,,5040,2,5041.0,24.0,,,5037.0,-281.2265625
20900,0,STARFRUIT,5034,31,,,,,5035,1,5041.0,31.0,,,5034.5,-289.7890625
21000,0,STARFRUIT,5034,26,,,,,5041,26,,,,,5037.5,-291.3046875
21100,0,STARFRUIT,5034,28,,,,,5037,2,5041.0,28.0,,,5035.5,-285.7578125
21200,0,STARFRUIT,5040,1,5034.0,29.0,,,5041,29,,,,,5040.5,-293.6015625
21300,0,STARFRUIT,5034,22,,,,,5040,2,5042.0,22.0,,,5037.0,-299.40625
21400,0,STARFRUIT,5035,1,5034.0,29.0,,,5041,30,,,,,5038.0,-297.0078125
21500,0,STARFRUIT,5034,28,,,,,5035,5,5041.0,30.0,,,5034.5,-297.234375
21600,0,STARFRUIT,5035,22,,,,,5042,22,,,,,5038.5,-304.703125
21700,0,STARFRUIT,5035,6,5034.0,25.0,,,5041,2,5042.0,25.0,,,5038.0,-298.875
21800,0,STARFRUIT,5035,26,,,,,5042,26,,,,,5038.5,-311.796875
21900,0,STARFRUIT,5035,27,,,,,5042,27,,,,,5038.5,-310.984375
22000,0,STARFRUIT,5035,22,,,,,5042,22,,,,,5038.5,-312.2421875
22100,0,STARFRUIT,5035,22,,,,,5040,4,5042.0,22.0,,,5037.5,-306.96875
22200,0,STARFRUIT,5036,3,5035.0,23.0,,,5042,23,,,,,5039.0,-316.8203125
22300,0,STARFRUIT,5036,30,,,,,5043,30,,,,,5039.5,-325.9921875
22400,0,STARFRUIT,5036,24,,,,,5043,24,,,,,5039.5,-332.7421875
22500,0,STARFRUIT,5041,1,5036.0,27.0,,,5043,27,,,,,5042.0,-321.65625
22600,0,STARFRUIT,5042,1,5041.0,4.0,5037.0,4.0,5043,26,,,,,5042.5,-332.0625
22700,0,STARFRUIT,5036,26,,,,,5042,1,5043.0,25.0,,,5039.0,-321.09375
22800,0,STARFRUIT,5036,27,,,,,5043,27,,,,,5039.5,-325.1796875
22900,0,STARFRUIT,5036,23,,,,,5037,1,5041.0,4.0,5043.0,23.0,5036.5,-331.7734375
23000,0,STARFRUIT,5042,1,5037.0,1.0,5036.0,20.0,5043,21,,,,,5042.5,-334.6875
23100,0,STARFRUIT,5038,7,5037.0,28.0,,,5043,2,5044.0,26.0,,,5040.5,-343.2109375
23200,0,STARFRUIT,5037,2,5036.0,24.0,,,5043,25,,,,,5040.0,-336.8984375
23300,0,STARFRUIT,5037,2,5036.0,21.0,,,5043,2,5044.0,21.0,,,5040.0,-338.5703125
23400,0,STARFRUIT,5037,1,5036.0,29.0,,,5043,1,5044.0,29.0,,,5040.0,-338.9140625
23500,0,STARFRUIT,5038,3,5037.0,31.0,,,5044,31,,,,,5041.0,-345.609375
23600,0,STARFRUIT,5037,1,5036.0,25.0,,,5043,27,,,,,5040.0,-337.96875
23700,0,STARFRUIT,5042,1,5037.0,21.0,,,5043,1,5044.0,20.0,,,5042.5,-339.671875
23800,0,STARFRUIT,5037,22,,,,,5044,22,,,,,5040.5,-340.015625
23900,0,STARFRUIT,5037,27,,,,,5044,27,,,,,5040.5,-340.25
24000,0,STARFRUIT,5038,6,5037.0,29.0,,,5044,29,,,,,5041.0,-354.0390625
24100,0,STARFRUIT,5037,22,,,,,5044,22,,,,,5040.5,-352.6015625
24200,0,STARFRUIT,5038,24,,,,,5043,8,5044.0,1.0,5045.0,23.0,5040.5,-361.859375
24300,0,STARFRUIT,5038,26,,,,,5043,5,5045.0,27.0,,,5040.5,-360.5546875
24400,0,STARFRUIT,5038,9,5037.0,28.0,,,5044,29,,,,,5041.0,-355.59375
24500,0,STARFRUIT,5037,26,,,,,5044,26,,,,,5040.5,-346.3125
24600,0,STARFRUIT,5038,2,5037.0,22.0,,,5044,24,,,,,5041.0,-355.3359375
24700,0,STARFRUIT,5037,22,,,,,5044,22,,,,,5040.5,-349.796875
24800,0,STARFRUIT,5037,28,,,,,5044,28,,,,,5040.5,-349.78125
24900,0,STARFRUIT,5037,24,,,,,5044,24,,,,,5040.5,-345.796875
25000,0,STARFRUIT,5037,28,,,,,5043,1,5044.0,27.0,,,5040.0,-341.609375
25100,0,STARFRUIT,5036,27,,,,,5043,27,,,,,5039.5,-334.2734375
25200,0,STARFRUIT,5037,6,5036.0,26.0,,,5039,4,5043.0,26.0,,,5038.0,-333.78125
25300,0,STARFRUIT,5036,22,,,,,5042,1,5043.0,21.0,,,5039.0,-320.84375
25400,0,STARFRUIT,5035,29,,,,,5042,29,,,,,5038.5,-367.0
25500,0,STARFRUIT,5036,1,5035.0,23.0,,,5040,6,5042.0,24.0,,,5038.0,-367.0
25600,0,STARFRUIT,5035,24,,,,,5040,6,5042.0,24.0,,,5037.5,-375.84765625
25700,0,STARFRUIT,5036,1,5035.0,24.0,,,5042,1,5043.0,24.0,,,5039.0,-378.8359375
25800,0,STARFRUIT,5037,29,,,,,5043,2,5044.0,27.0,,,5040.0,-366.6875
25900,0,STARFRUIT,5037,29,,,,,5044,29,,,,,5040.5,-362.48828125
26000,0,STARFRUIT,5042,1,5037.0,27.0,,,5044,27,,,,,5043.0,-364.5546875
26100,0,STARFRUIT,5042,1,5038.0,2.0,5037.0,25.0,5043,1,5044.0,24.0,,,5042.5,-398.0
26200,0,STARFRUIT,5037,29,,,,,5043,2,5044.0,27.0,,,5040.0,-396.10498046875
26300,0,STARFRUIT,5037,26,,,,,5038,1,5044.0,26.0,,,5037.5,-396.70458984375
26400,0,STARFRUIT,5037,27,,,,,5044,27,,,,,5040.5,-394.0
26500,0,STARFRUIT,5038,22,,,,,5044,1,5045.0,21.0,,,5041.0,-394.0
26600,0,STARFRUIT,5037,31,,,,,5044,31,,,,,5040.5,-394.0
26700,0,STARFRUIT,5042,1,5038.0,8.0,5037.0,26.0,5044,26,,,,,5043.0,-394.0
26800,0,STARFRUIT,5037,20,,,,,5044,20,,,,,5040.5,-392.5947265625
26900,0,STARFRUIT,5037,22,,,,,5044,22,,,,,5040.5,-392.6865234375
27000,0,STARFRUIT,5037,27,,,,,5042,6,5044.0,27.0,,,5039.5,-392.33984375
27100,0,STARFRUIT,5043,1,5037.0,29.0,,,5044,29,,,,,5043.5,-392.65185546875
27200,0,STARFRUIT,5042,1,5038.0,7.0,5037.0,25.0,5043,2,5044.0,23.0,,,5042.5,-389.44140625
27300,0,STARFRUIT,5037,25,,,,,5038,1,5044.0,25.0,,,5037.5,-389.765625
27400,0,STARFRUIT,5041,6,5039.0,1.0,5038.0,22.0,5045,23,,,,,5043.0,-388.5478515625
27500,0,STARFRUIT,5038,30,,,,,5045,30,,,,,5041.5,-395.0
27600,0,STARFRUIT,5043,1,5039.0,6.0,5038.0,28.0,5045,28,,,,,5044.0,-395.0
27700,0,STARFRUIT,5038,32,,,,,5045,32,,,,,5041.5,-393.484375
27800,0,STARFRUIT,5039,5,5038.0,22.0,,,5044,2,5045.0,20.0,,,5041.5,-393.04833984375
27900,0,STARFRUIT,5038,29,,,,,5043,8,5045.0,29.0,,,5040.5,-393.64697265625
28000,0,STARFRUIT,5039,4,5038.0,22.0,,,5045,22,,,,,5042.0,-393.458984375
28100,0,STARFRUIT,5039,21,,,,,5046,21,,,,,5042.5,-394.37744140625
28200,0,STARFRUIT,5039,23,,,,,5046,23,,,,,5042.5,-394.3115234375
28300,0,STARFRUIT,5039,30,,,,,5045,2,5046.0,28.0,,,5042.0,-394.13916015625
28400,0,STARFRUIT,5039,20,,,,,5046,20,,,,,5042.5,-394.27197265625
28500,0,STARFRUIT,5039,5,5038.0,28.0,,,5045,30,,,,,5042.0,-393.86767578125
28600,0,STARFRUIT,5039,27,,,,,5042,5,5045.0,2.0,5046.0,26.0,5040.5,-394.11279296875
